key,cites,id_scholar
adam-smith2011,7,7959856223518266074
agha2011,8,15936640823202819055
ahn2018,18,8794916882115553925
ahn2019,3,11336997810447433109
ahrens2019,38,6933457760051105332
al-soneidar2022,8,17802808403117351709
al-soneidar2022a,3,17183605199643511872
al-soneidar2024a,4,13797277146427057145
alcantara2025,0,
alvarado2009,11,3300012737663775131
anato2023a,11,13595559652227694083
arsenault2017,88,17964067854562741500
arsenault2017a,72,12043505978696005743
arsenault2017b,54,9668898698481504329
arsenault2020,10,15925106964221848209
auger2011,43,4890372687883203752
auger2011b,29,4190738686919313892
auger2012,20,9875425743582228614
auger2012a,63,3186558711605288081
auger2012b,12,2293058951744663748
auger2012c,29,7836897766216007191
auger2013a,8,11429953805337334888
auger2014,86,4627857844313089531
austin2016a,5,10826064826532277512
austin2016b,20,14115428015263949877
austin2018,39,10162956889745749180
austin2019,19,12614034044009451223
austin2019a,27,7143688836996837468
banack2012,100,"18356744264798416460,11516396291519379576"
banack2018,27,6052647557027844980
bannon2025,4,15229183233488134859
burgos-ochoa2024a,3,2244435364392837504
capurro2022,9,17581800717661718766
carabali2021,41,12706395601771752283
carabali2022,10,7328176740267463657
carter2017,17,4753955411954265175
charters2016,16,1542105798893514963
chen2025,6,6483390018518693303
cho2007,28,15581943405960919097
clark2022b,83,11309425363995433637
elani2012,,
elani2017,108,6048756296838959232
frenz2014,134,17783282704885824668
goldstein2020,13,13331234356744643249
graham2021,10,17583069858188597551
gravesteijn2024a,1,13341585112304948139
gray2016,46,2958451230887583417
hajizadeh2015,87,7982779823860517810
hajna2015,90,14368358184707826205
hajna2016,45,11159036568511217737
hall2009,880,4934880253898804809
hamadani2019,17,12752876995318528756
hamra2019,13,17160259074148066225
Harper:2012ee,298,16360284090138940705
Harper:2019rp,37,17028838650402825309
harper2002,249,15492392139454087193
harper2006,17,13555460330101288240
harper2007a,340,17989599723687987435
harper2007b,32,6925278238960633452
harper2007d,266,11745635549141882946
harper2007e,5,6454646879808294666
harper2007f,3,15362916992659287634
harper2008,255,3426564870752000738
harper2008a,9,1331860760518668120
harper2008b,,
harper2009a,286,11774061317373456043
harper2009b,0,
harper2010,394,339549748494205326
harper2010a,1,1365763635161804753
harper2011,218,9918105167447329352
harper2012,84,175154025726990401
harper2012a,44,10048571484697739392
harper2012c,103,15191478229715797433
harper2012d,3,8578148617475983806
harper2013,1,7213137308322606333
harper2013a,51,112083956983837015
harper2013b,66,6502539551144643995
harper2014,114,1979008215527816163
harper2014a,394,339549748494205326
harper2014b,61,7223212191967699408
harper2015,18,15463701508689450256
harper2015a,64,18145374635785351162
harper2015b,100,15253275447482584760
harper2017a,18,17174736928939935465
harper2017b,58,8671436871639196961
harper2017c,23,462798188744967645
harper2019b,9,1305809945697895948
harper2019c,0,
harper2019ph,11,7384331452935231238
